Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C6, C7, C8, C9",0805,50,0.1uF,
"L1, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L2, L20, L21, L22, L23, L24, L25, L26, L27, L28, L29, L3, L30, L31, L32, L33, L34, L35, L36, L37, L38, L39, L4, L40, L41, L42, L43, L44, L5, L6, L7, L8, L9",0603,44,LED,
"R1, R11, R117, R118, R119, R120, R121, R122, R13, R15, R17, R19, R21, R23, R25, R27, R29, R3, R31, R33, R35, R37, R39, R41, R43, R45, R47, R49, R5, R51, R53, R55, R57, R59, R61, R63, R65, R67, R69, R7, R71, R9",0805,42,68k,
"R10, R12, R123, R124, R125, R126, R127, R128, R14, R16, R18, R2, R20, R22, R24, R26, R28, R30, R32, R34, R36, R38, R4, R40, R42, R44, R46, R48, R50, R52, R54, R56, R58, R6, R60, R62, R64, R66, R68, R70, R72, R8",0805,42,1k,
"R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99",0805,44,100,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S22, S23, S24, S25, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S5, S6, S7, S8, S9",Choc_V1_LED_1.00u,38,Keyswitch,
"S20, S21, S41, S42",Choc_V1_LED_1.50u_90deg,4,Keyswitch,
"U1, U19, U2, U20, U21, U22, U23, U24, U27, U3, U4, U5, U6, U66",TSSOP-16_4.4x5mm_P0.65mm,14,74HC365,
"U10, U11, U12, U25, U7, U8, U9",TSSOP-14_4.4x5mm_P0.65mm,7,74HC14,
"U13, U14, U15, U16, U17, U18, U26",TSSOP-16_4.4x5mm_P0.65mm,7,74HC174,
U99,Raspberry_Pi_Pico_SMD,1,Raspberry_Pi_Pico,
