Designator,Mid X,Mid Y,Rotation,Layer
C1,-118.695558,45.780611,195.0,bottom
C10,-68.727264,23.624847,195.0,bottom
C11,-51.348861,18.935266,195.0,bottom
C12,-33.962197,14.276525,195.0,bottom
C13,-127.495405,12.93913,195.0,bottom
C14,-110.108744,8.280387,195.0,bottom
C15,-90.522117,11.832015,195.0,bottom
C16,-73.135451,7.173271,195.0,bottom
C17,-55.748786,2.514529,195.0,bottom
C18,-38.36212,-2.144212,195.0,bottom
C19,112.417041,44.098284,165.0,bottom
C2,-101.308895,41.121865,195.0,bottom
C20,95.030376,39.439541,165.0,bottom
C21,75.443751,42.991169,165.0,bottom
C22,58.057086,38.332425,165.0,bottom
C23,40.670422,33.673683,165.0,bottom
C24,23.283756,29.01494,165.0,bottom
C25,116.816965,27.677545,165.0,bottom
C26,99.430301,23.018803,165.0,bottom
C27,79.843674,26.570431,165.0,bottom
C28,62.45701,21.911687,165.0,bottom
C29,45.070345,17.252945,165.0,bottom
C3,-81.722268,44.673492,195.0,bottom
C30,27.683678,12.594201,165.0,bottom
C31,121.21689,11.256806,165.0,bottom
C32,103.830225,6.598063,165.0,bottom
C33,84.243598,10.14969,165.0,bottom
C34,66.856933,5.490947,165.0,bottom
C35,49.470268,0.832204,165.0,bottom
C36,32.083602,-3.826534,165.0,bottom
C37,-73.706349,-12.344005,195.0,bottom
C38,-56.042939,-23.06922,210.0,bottom
C39,-38.637495,-27.922105,210.0,bottom
C4,-64.3356,40.014749,195.0,bottom
C40,67.427826,-14.026333,165.0,bottom
C41,50.413773,-26.319218,150.0,bottom
C42,33.00833,-31.172105,150.0,bottom
C43,-25.0,-34.0,0.0,bottom
C44,-28.0,-28.0,270.0,bottom
C45,-1.5,2.5,180.0,bottom
C46,-24.0,27.5,90.0,bottom
C47,18.5,18.0,270.0,bottom
C48,6.5,2.0,180.0,bottom
C49,6.5,-20.5,270.0,bottom
C5,-46.948939,35.356006,195.0,bottom
C50,26.0,-34.0,180.0,bottom
C6,-29.562276,30.697264,195.0,bottom
C7,-123.095484,29.359865,195.0,bottom
C8,-105.708818,24.701126,195.0,bottom
C9,-86.122192,28.252753,195.0,bottom
L1,-117.54995,37.384948,345.0,top
L10,-67.58985,15.198349,345.0,top
L11,-50.2032,10.539647,345.0,top
L12,-32.81655,5.880874,345.0,top
L13,-126.349949,4.543479,345.0,top
L14,-108.962949,-0.115241,345.0,top
L15,-89.37645,3.436369,345.0,top
L16,-71.989749,-1.222351,345.0,top
L17,-54.60315,-5.881122,345.0,top
L18,-37.216451,-10.539854,345.0,top
L19,-72.483048,-20.449863,345.0,top
L2,-100.16305,32.726249,345.0,top
L20,-57.120549,-31.440319,330.0,top
L21,-39.733901,-36.099019,330.0,top
L22,117.549949,37.384949,15.0,top
L23,100.163194,32.726248,15.0,top
L24,80.576556,36.277851,15.0,top
L25,63.189949,31.619148,15.0,top
L26,45.803248,26.960349,15.0,top
L27,28.416641,22.301643,15.0,top
L28,121.949949,20.964248,15.0,top
L29,104.563133,16.305489,15.0,top
L3,-80.5766,36.277849,345.0,top
L30,84.976549,19.857149,15.0,top
L31,67.58985,15.198348,15.0,top
L32,50.203154,10.53965,15.0,top
L33,32.816548,5.880855,15.0,top
L34,126.349953,4.543469,15.0,top
L35,108.96295,-0.11525,15.0,top
L36,89.376448,3.436368,15.0,top
L37,-85.038637,-8.272251,165.0,top
L38,-85.815094,-11.170031,165.0,top
L39,71.989751,-1.222357,15.0,top
L4,-63.18995,31.619148,345.0,top
L40,54.603151,-5.88111,15.0,top
L41,37.216448,-10.53985,15.0,top
L42,72.483052,-20.44986,15.0,top
L43,57.120549,-31.440319,30.0,top
L44,39.7339,-36.099018,30.0,top
L5,-45.803249,26.96035,345.0,top
L6,-28.416625,22.301648,345.0,top
L7,-121.949949,20.964248,345.0,top
L8,-104.563,16.3055,345.0,top
L9,-84.976549,19.857149,345.0,top
R1,-117.660283,49.644313,15.0,bottom
R10,-46.4313,37.287859,15.0,bottom
R100,72.254968,16.254832,345.0,bottom
R101,54.868303,11.596088,345.0,bottom
R102,37.481638,6.937345,345.0,bottom
R103,131.01485,5.599952,345.0,bottom
R104,113.628184,0.941209,345.0,bottom
R105,94.041559,4.492835,345.0,bottom
R106,76.654892,-0.165908,345.0,bottom
R107,59.268227,-4.82465,345.0,bottom
R108,41.881562,-9.483393,345.0,bottom
R109,-88.903114,-7.239865,345.0,top
R11,-28.526998,34.560966,15.0,bottom
R110,-89.678798,-10.134752,345.0,top
R111,-67.920084,-21.659002,15.0,bottom
R112,-52.864736,-33.564411,30.0,bottom
R113,-35.459292,-38.417296,30.0,bottom
R114,77.096378,-19.20022,345.0,bottom
R115,61.341978,-29.247423,330.0,bottom
R116,43.686534,-33.667296,330.0,bottom
R117,-72.671069,-8.480302,15.0,bottom
R118,-54.042938,-19.605115,30.0,bottom
R119,-36.637495,-24.458004,30.0,bottom
R12,-29.044633,32.629116,15.0,bottom
R120,66.39255,-10.162626,345.0,bottom
R121,48.413773,-22.855117,330.0,bottom
R122,31.008331,-27.708002,330.0,bottom
R123,-73.188708,-10.412154,15.0,bottom
R124,-55.042939,-21.337169,30.0,bottom
R125,-37.637495,-26.190054,30.0,bottom
R126,66.91019,-12.094477,345.0,bottom
R127,49.413775,-24.587169,330.0,bottom
R128,32.00833,-29.440054,330.0,bottom
R13,-122.060209,33.223571,15.0,bottom
R14,-122.577845,31.291721,15.0,bottom
R15,-104.673541,28.564828,15.0,bottom
R16,-105.191182,26.63298,15.0,bottom
R17,-85.086915,32.116456,15.0,bottom
R18,-85.604552,30.184603,15.0,bottom
R19,-67.691986,27.488548,15.0,bottom
R2,-118.177921,47.712459,15.0,bottom
R20,-68.209627,25.556699,15.0,bottom
R21,-50.313588,22.798972,15.0,bottom
R22,-50.831224,20.867119,15.0,bottom
R23,-32.926921,18.140228,15.0,bottom
R24,-33.444559,16.208376,15.0,bottom
R25,-126.460132,16.802833,15.0,bottom
R26,-126.977769,14.870981,15.0,bottom
R27,-109.073467,12.144091,15.0,bottom
R28,-109.591109,10.212238,15.0,bottom
R29,-89.486841,15.695721,15.0,bottom
R3,-100.273616,44.98557,15.0,bottom
R30,-90.004475,13.763864,15.0,bottom
R31,-72.100176,11.036973,15.0,bottom
R32,-72.617813,9.105122,15.0,bottom
R33,-54.71351,6.37823,15.0,bottom
R34,-55.231148,4.44638,15.0,bottom
R35,-37.326844,1.719489,15.0,bottom
R36,-37.844483,-0.212363,15.0,bottom
R37,111.381764,47.961987,345.0,bottom
R38,111.899403,46.030136,345.0,bottom
R39,93.995099,43.303245,345.0,bottom
R4,-100.791257,43.053719,15.0,bottom
R40,94.512739,41.371393,345.0,bottom
R41,74.408473,46.854873,345.0,bottom
R42,74.926112,44.923018,345.0,bottom
R43,57.021808,42.196129,345.0,bottom
R44,57.539449,40.264278,345.0,bottom
R45,39.635145,37.537385,345.0,bottom
R46,40.152784,35.605535,345.0,bottom
R47,22.24848,32.878643,345.0,bottom
R48,22.766116,30.946791,345.0,bottom
R49,115.781689,31.541251,345.0,bottom
R5,-80.686991,48.537197,15.0,bottom
R50,116.299328,29.609397,345.0,bottom
R51,98.395023,26.882507,345.0,bottom
R52,98.912663,24.950654,345.0,bottom
R53,78.808399,30.434132,345.0,bottom
