Designator,Footprint,Quantity,Value,LCSC Part #
"C22, C23, C72, C73",0805,4,0.1uF,
J1,TE_2041126-1_RJ45,1,RJ45,
J51,TE_2041126-1_RJ45_Back,1,RJ45,
"L1, L2, L3, L4",0603,4,LED,
"R1, R2, R3, R4",0805,4,10k,
"R5, R6, R7, R8",0805,4,100,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S3, S4, S5, S6, S7, S8, S9",MX_HallEffect_Reversible_1.00u,20,Keyswitch,
"U1, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U2, U20, U3, U4, U5, U51, U52, U53, U54, U55, U56, U57, U58, U59, U6, U60, U61, U62, U63, U64, U65, U66, U67, U68, U69, U7, U70, U8, U9",SOT-23,40,DRV5055,
"U22, U23, U72, U73",SSOP-24_5.3x8.2mm_P0.65mm,4,CD74HC4067SM,
U77,Adafruit_QT_Py_SMD,1,~,
