Designator,Mid X,Mid Y,Rotation,Layer
C22,189.4,-71.8,270.0,top
C23,187.4,-90.8,0.0,top
C72,192.6,-86.6,0.0,bottom
C73,190.8,-102.4,90.0,bottom
J1,205.5,-97.25,90.0,top
J51,205.5,-97.25,270.0,bottom
L1,137.8,-115.6,180.0,top
L2,211.2,-81.6,180.0,top
L3,137.8,-115.6,0.0,bottom
L4,211.2,-83.6,180.0,top
R1,210.5,-76.0,270.0,top
R2,208.5,-76.0,270.0,top
R3,206.5,-76.0,270.0,top
R4,212.5,-76.0,270.0,top
R5,137.8,-117.6,180.0,top
R6,207.8,-81.6,0.0,top
R7,137.8,-117.6,0.0,bottom
R8,207.8,-83.6,0.0,top
S1,86.0125,-61.9875,0.0,top
S10,143.0125,-80.9875,0.0,top
S11,162.0125,-80.9875,0.0,top
S12,181.0125,-80.9875,0.0,top
S13,86.0125,-99.9875,0.0,top
S14,105.0125,-99.9875,0.0,top
S15,124.0125,-99.9875,0.0,top
S16,143.0125,-99.9875,0.0,top
S17,162.0125,-99.9875,0.0,top
S18,181.0125,-99.9875,0.0,top
S19,152.5,-120.9,0.0,top
S2,105.0125,-61.9875,0.0,top
S20,175.302809,-123.753661,345.0,top
S3,124.0125,-61.9875,0.0,top
S4,143.0125,-61.9875,0.0,top
S5,162.0125,-61.9875,0.0,top
S6,181.0125,-61.9875,0.0,top
S7,86.0125,-80.9875,0.0,top
S8,105.0125,-80.9875,0.0,top
S9,124.0125,-80.9875,0.0,top
U1,86.0,-62.0,180.0,top
U10,143.0,-81.0,180.0,top
U11,162.0,-81.0,180.0,top
U12,181.0,-81.0,180.0,top
U13,86.0,-100.0,180.0,top
U14,105.0,-100.0,180.0,top
U15,124.0,-100.0,180.0,top
U16,143.0,-100.0,180.0,top
U17,162.0,-100.0,180.0,top
U18,181.0,-100.0,180.0,top
U19,152.4875,-120.9125,180.0,top
U2,105.0,-62.0,180.0,top
U20,175.2875,-123.7625,180.0,top
U22,194.75,-80.5,0.0,top
U23,194.75,-95.4,0.0,top
U3,124.0,-62.0,180.0,top
U4,143.0,-62.0,180.0,top
U5,162.0,-62.0,180.0,top
U51,86.0,-62.0,180.0,bottom
U52,105.0,-62.0,180.0,bottom
U53,124.0,-62.0,180.0,bottom
U54,143.0,-62.0,180.0,bottom
U55,162.0,-62.0,180.0,bottom
U56,181.0,-62.0,180.0,bottom
U57,86.0,-81.0,180.0,bottom
U58,105.0,-81.0,180.0,bottom
U59,124.0,-81.0,180.0,bottom
U6,181.0,-62.0,180.0,top
U60,143.0,-81.0,180.0,bottom
U61,162.0,-81.0,180.0,bottom
U62,181.0,-81.0,180.0,bottom
U63,86.0,-100.0,180.0,bottom
U64,105.0,-100.0,180.0,bottom
U65,124.0,-100.0,180.0,bottom
U66,143.0,-100.0,180.0,bottom
U67,162.0,-100.0,180.0,bottom
U68,181.0,-100.0,180.0,bottom
U69,152.4875,-120.9125,180.0,bottom
U7,86.0,-81.0,180.0,top
U70,175.2875,-123.7625,180.0,bottom
U72,194.75,-80.5,180.0,bottom
U73,194.75,-95.4,180.0,bottom
U77,202.5,-61.492,0.0,top
U8,105.0,-81.0,180.0,top
U9,124.0,-81.0,180.0,top
